File #,Box,Total,Location,API,Operator,Lease,Well #,Sec,Tw,TwD,Rg,RgD,Quarter,Latitude,Longitude,County,State,Formation,Field,Top,Bottom,Type,Box Type,Condition,Diameter,Restrictions,Comments,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
2896,,,,35049390710000,Magnolia,Mcdaniel,2,22.0,4.0,N,2.0,W,NENW,34.80983,97.39851,Garvin,OK,Bromide,Maysville,6475,6556,Chips ,,,3.5,,,,,,,,,
2898,,,,35081043630000,Magnolia,Davenport Unit,110,3.0,14.0,N,5.0,E,NESE,35.71412,96.75437,Lincoln,OK,Oswego,Stroud,3310,3332,Chips ,,,3,,2 BXS TOTL,,,,,,,
2898,,,,35081043630000,Magnolia,Davenport Unit,110,3.0,14.0,N,5.0,E,NESE,35.71412,96.75437,Lincoln,OK,Oswego,Stroud,3366,3370,Chips ,,,3,,,,,,,,,
2898,,,,35081043630000,Magnolia,Davenport Unit,110,3.0,14.0,N,5.0,E,NESE,35.71412,96.75437,Lincoln,OK,Prue,Stroud,3370,3429,Chips ,,,3,,,,,,,,,
2899,,,,35081047300000,Magnolia,Davenport Un,111,2.0,14.0,N,5.0,E,SWNW,35.71765,96.75028,Lincoln,OK,Prue,Stroud,3388,3434,Chips ,,,,, 2 BXS TOTL,,,,,,,
2900,,,,35081055900000,Magnolia,Davenport Un,112,2.0,14.0,N,5.0,E,NWSW,35.7141,96.75039,Lincoln,OK,Prue,Stroud,3320,3335,Chips ,,,3,, 1 BX TOTL,,,,,,,
2900,,,,35081055900000,Magnolia,Davenport Un,112,2.0,14.0,N,5.0,E,NWSW,35.7141,96.75039,Lincoln,OK,Prue,Stroud,3350,3403,Chips ,,,3,,,,,,,,,
2902,,,,35081043650000,Magnolia,Davenport U,115,3.0,14.0,N,5.0,E,SENE,35.71766,96.75239,Lincoln,OK,Prue,Stroud,3355,3387,Chips ,,,,,1 BX TOTL,,,,,,,
2903,,,,35081056120000,Magnolia,Davenport U,116,3.0,14.0,N,5.0,E,SENE,35.71957,96.75238,Lincoln,OK,Prue,Davenpo,3361,3385,Chips ,,,,,1 BX TOTL,,,,,,,
2904,,,,35081047320000,Magnolia,Davenport U,117,2.0,14.0,N,5.0,E,NWNW,35.72135,96.75015,Lincoln,OK,Prue,Stroud,3370,3386,Chips ,,,,,"1 BX TOTL, WHOLE CORE",,,,,,,
2905,,,,35081055910000,Magnolia,Davenport U,119,2.0,14.0,N,5.0,E,NESW,35.7161,96.74347,Lincoln,OK,Prue,Stroud,3330,3377,Chips ,,,,,1 BX TOTL,,,,,,,
2906,,,,35081055920000,Magnolia,Davenport U,120,2.0,14.0,N,5.0,E,SWSW,35.71227,96.74791,Lincoln,OK,Prue,Stroud,3300,3336,Chips ,,,,,1 BX TOTL,,,,,,,
2907,,,,35081043670000,Magnolia,Davenport U,126,3.0,14.0,N,5.0,E,NWSE,35.71416,96.75891,Lincoln,OK,Prue,Stroud,3380,3420,Chips ,,,,,1 BX TOTL,,,,,,,
2908,,,,35081062280000,Magnolia,Davenport U,128,3.0,14.0,N,5.0,E,SESE,,,Lincoln,OK,Prue,,3390,3416,Chips ,,,,,1 BX TOTL,,,,,,,
2909,,,,35081056140000,Magnolia,Davenport U,134,3.0,14.0,N,5.0,E,SWNE,35.71769,96.75913,Lincoln,OK,Coal,Stroud,3397,3435,Chips ,,,,,1 BX TOTL,,,,,,,
2909,,,,35081056140000,Magnolia,Davenport U,134,3.0,14.0,N,5.0,E,SWNE,35.71769,96.75913,Lincoln,OK,Prue,Stroud,3435,3462,Chips ,,,,,,,,,,,,
2910,,,,35081056150000,Magnolia,Davenport U,135,3.0,14.0,N,5.0,E,NESW,35.71602,96.76158,Lincoln,OK,Coal,Stroud,3407,3420,Chips ,,,,,  1 BX TOTL,,,,,,,
2910,,,,35081056150000,Magnolia,Davenport U,135,3.0,14.0,N,5.0,E,NESW,35.71602,96.76158,Lincoln,OK,Prue,Stroud,3420,3461,Chips ,,,,,,,,,,,,
2911,,,,35081044800000,Magnolia,Davenport U,138,10.0,14.0,N,5.0,E,NENE,35.7069,96.75238,Lincoln,OK,Prue,Stroud,3360,3432,Chips ,,,,,,,,,,,,
2912,,,,35081047350000,Magnolia,Davenport,139,2.0,14.0,N,5.0,E,SWNE,35.71951,96.74124,Lincoln,OK,,Stroud,3202,3207,Chips ,,,,,1 BX TOTL,,,,,,,
2912,,,,35081047350000,Magnolia,Davenport,139,2.0,14.0,N,5.0,E,SWNE,35.71951,96.74124,Lincoln,OK,Prue,Stroud,3275,3402,Chips ,,,,,,,,,,,,
2913,,,,35081055930000,Magnolia,Davenport,141,2.0,14.0,N,5.0,E,NENW,35.72122,96.74591,Lincoln,OK,,Stroud,3225,3243,Chips ,,,,, 1 BX TOTL,,,,,,,
